Depth,GR,Log_ILD,DT,RHOB,NPHI,PHI,PERM,velocity,GRI,vshale,PHIeff,formation_factor,swirr,permeability,Facies_code
7016.0,81.3705,0.9023,154.1,2.0677,0.6976,0.3757,9434.448535492293,6489.2926670992865,0.5877,0.29168370639465524,0.33661438334311616,5.087250464514776,0.05043436558793407,4053.589143359712,2
7016.5,85.3665,0.8829,154.0,2.0703,0.9507,0.374,9228.02094056746,6493.506493506494,0.6343,0.33924877616784044,0.3285406639935094,5.137096745735186,0.05068084818615009,4019.7480419608987,2
7017.0,88.7218,0.8782,154.8,2.0764,1.1016,0.3701,8771.357403107791,6459.948320413436,0.6735,0.38390636034938114,0.3186565477131829,5.254188584745157,0.051255187955684824,3942.6924529624325,2
7017.5,88.6459,0.897,154.4,2.0787,0.9803,0.3686,8601.797331970338,6476.683937823834,0.6726,0.3828298991856455,0.3173007935091235,5.300266761297819,0.05147944619601992,3913.270752860179,2
7018.0,89.693,0.9184,154.5,2.0776,0.9061,0.3693,8680.513561553718,6472.491909385113,0.6848,0.39763551030334626,0.3160168416193516,5.278690242812452,0.05137455714073092,3926.9860108942885,2
7018.5,84.4621,0.9008,154.5,2.0788,0.8283,0.3685,8590.610578200827,6472.491909385113,0.6238,0.3280298704543219,0.3245439973591209,5.303359665423551,0.051494464097723895,3911.313554380866,2
7019.0,85.2112,0.8807,153.0,2.0824,1.1504,0.3662,8337.292599199815,6535.9477124183,0.6325,0.33730401602390825,0.3210012618527963,5.375232557297496,0.051842224862063434,3866.4445520224112,2
7019.5,82.1981,0.8834,153.8,2.0824,0.9639,0.3662,8337.292599199815,6501.950585175552,0.5974,0.3011216398090598,0.325849700265586,5.375232557297496,0.051842224862063434,3866.4445520224112,2
7020.0,85.2477,0.8991,153.6,2.0762,0.8698,0.3702,8782.779526669292,6510.416666666667,0.6329,0.33773540942487806,0.3249434551370663,5.2511375985508515,0.0512403044416739,3944.6581478305006,2
7020.5,83.914,0.9133,153.5,2.0689,0.6384,0.3749,9336.737142771632,6514.657980456026,0.6174,0.3213384052610937,0.3318406536950135,5.110618851356985,0.05055006850320277,4037.644802279604,2
7021.0,86.8628,0.9218,154.0,2.0647,0.677,0.3776,9670.63106007984,6493.506493506494,0.6518,0.3586315500479558,0.3295433722935739,5.0323741219075195,0.05016160943344781,4091.593161310242,2
7021.5,85.1777,0.9231,154.2,2.0637,0.5703,0.3783,9759.128334005618,6485.08430609598,0.6321,0.33687306494431757,0.33315900929746145,5.012375005909095,0.050061836791657446,4105.642964882012,2
7022.0,87.5731,0.9224,154.3,2.0656,0.5581,0.377,9595.415260343902,6480.881399870382,0.6601,0.3681331312485522,0.32767016041269403,5.04960941057466,0.05024743481300643,4079.571182510546,2
