DEPTH(m),CALI,GR,RESS,RESD,DENSITY,NEUTRON,Depth_ft,PERM
2268.931,12.264,81.321,1.378,1.32,2.149,0.402,7444.0,255.509
2269.083,12.464,92.575,1.798,1.747,2.184,0.399,7444.5,0.2324
2269.236,12.521,98.099,2.235,2.2,2.22,0.391,7445.0,0.2324
2269.388,12.501,103.418,2.107,2.035,2.24,0.391,7445.5,0.2324
2279.904,12.794,99.399,2.016,1.836,2.227,0.464,7480.0,0.2324
2280.056,12.694,101.463,2.018,1.845,2.233,0.474,7480.5,0.2324
2280.209,12.526,100.743,2.04,1.866,2.229,0.472,7481.0,0.2324
2280.361,12.551,100.352,2.103,1.923,2.226,0.412,7481.5,0.2324
2280.514,12.828,98.266,2.191,1.997,2.23,0.394,7482.0,0.2324
2280.666,13.333,101.991,2.268,2.059,2.236,0.422,7482.5,0.2324
2280.818,13.069,97.534,2.323,2.119,2.238,0.402,7483.0,117.733
2280.971,12.526,95.741,2.234,2.049,2.235,0.363,7483.5,117.733
